name,year,population,gdp_percap,life_exp
Afghanistan,1938,6901330,963,31.33
Afghanistan,1939,6967389,969,31.39
Afghanistan,1940,7034081,976,31.44
Afghanistan,1941,7101412,982,31.5
Afghanistan,1942,7169387,988,31.55
Afghanistan,1943,7238012,995,31.61
Afghanistan,1944,7307295,1001,31.66
Afghanistan,1945,7377241,1007,31.72
Afghanistan,1946,7447856,1014,31.76
Afghanistan,1947,7519147,1020,31.81
Afghanistan,1948,7591120,1027,31.87
Afghanistan,1949,7663783,1033,31.92
Afghanistan,1950,7752118,1040,31.98
Afghanistan,1951,7839510,1055,32.36
Afghanistan,1952,7934980,1074,33.05
Afghanistan,1953,8038596,1122,33.73
Afghanistan,1954,8150447,1127,34.43
Afghanistan,1955,8270581,1131,35.13
Afghanistan,1956,8399030,1161,35.82
Afghanistan,1957,8535807,1141,36.53
Afghanistan,1958,8680946,1183,37.23
Afghanistan,1959,8834445,1194,37.94
Afghanistan,1960,8996351,1213,38.65
Afghanistan,1961,9166764,1199,39.36
Afghanistan,1962,9345868,1195,40.07
Afghanistan,1963,9533954,1192,40.78
Afghanistan,1964,9731361,1190,41.51
Afghanistan,1965,9938414,1190,42.22
Afghanistan,1966,10152331,1176,42.94
Afghanistan,1967,10372630,1181,43.66
Afghanistan,1968,10604346,1196,44.37
Afghanistan,1969,10854428,1187,45.08
Afghanistan,1970,11126123,1183,45.78
Afghanistan,1971,11417825,1100,45.89
Afghanistan,1972,11721940,1054,45.89
Afghanistan,1973,12027822,1146,45.98
Afghanistan,1974,12321541,1179,46.09
Afghanistan,1975,12590286,1211,46.26
Afghanistan,1976,12840299,1241,46.46
Afghanistan,1977,13067538,1128,46.6
Afghanistan,1978,13237734,1189,45.02
Afghanistan,1979,13306695,1165,43.57
Afghanistan,1980,13248370,1168,43.26
Afghanistan,1981,13053954,1295,44.06
Afghanistan,1982,12749645,1414,43.75
Afghanistan,1983,12389269,1467,42.02
Afghanistan,1984,12047115,1443,39.77
Afghanistan,1985,11783050,1397,41.61
Afghanistan,1986,11601041,1500,42.58
Afghanistan,1987,11502761,1242,44.7
Afghanistan,1988,11540888,1124,46.97
Afghanistan,1989,11777609,1098,50.78
Afghanistan,1990,12249114,1038,51.61
Afghanistan,1991,12993657,1032,51.29
Afghanistan,1992,13981231,950,51.42
Afghanistan,1993,15095099,818,51.35
Afghanistan,1994,16172719,732,50.71
Afghanistan,1995,17099541,881,51.07
Afghanistan,1996,17822884,904,51.4
Afghanistan,1997,18381605,930,51.13
Afghanistan,1998,18863999,956,50.12
Afghanistan,1999,19403676,982,51.54
Afghanistan,2e3,20093756,972,51.63
Afghanistan,2001,20966463,871,51.69
Afghanistan,2002,21979923,1064,52.43
Afghanistan,2003,23064851,1099,53.03
Afghanistan,2004,24118979,1062,53.5
Afghanistan,2005,25070798,1136,53.87
Afghanistan,2006,25893450,1161,54.15
Afghanistan,2007,26616792,1285,54.57
Afghanistan,2008,27294031,1298,55.21
Afghanistan,2009,28004331,1531,55.69
Afghanistan,2010,28803167,1614,56.2
Afghanistan,2011,29708599,1661,56.71
Afghanistan,2012,30696958,1839,57.23
Afghanistan,2013,31731688,1814,57.71
Afghanistan,2014,32758020,1780,57.83
Afghanistan,2015,33736494,1748,57.9
Afghanistan,2016,34656032,1740,58.02
Afghanistan,2017,35530081,1798,58.36
Albania,1800,410445,667,35.4
Albania,1801,411734,667,35.4
Albania,1802,413026,667,35.4
Albania,1803,414323,667,35.4
Albania,1804,415624,667,35.4
Albania,1805,416929,668,35.4
Albania,1806,418237,668,35.4
Albania,1807,419550,668,35.4
Albania,1808,420868,668,35.4
Albania,1809,422189,668,35.4
Albania,1810,423591,668,35.4
Albania,1811,424949,668,35.4
Albania,1812,426340,668,35.4
Albania,1813,427763,668,35.4
Albania,1814,429220,668,35.4
Albania,1815,430711,669,35.4
Albania,1816,432235,669,35.4
Albania,1817,433792,669,35.4
Albania,1818,435384,669,35.4
Albania,1819,437010,669,35.4
Albania,1820,438671,669,35.4
Albania,1821,440367,671,35.4
Albania,1822,442097,672,35.4
Albania,1823,443863,674,35.4
Albania,1824,445665,675,35.4
Albania,1825,447502,677,35.4
Albania,1826,449375,678,35.4
Albania,1827,451285,680,35.4
Albania,1828,453231,681,35.4
Albania,1829,455214,683,35.4
Albania,1830,457234,684,35.4
Albania,1831,459291,686,35.4
Albania,1832,461357,688,35.4
Albania,1833,463433,689,35.4
Albania,1834,465518,691,35.4
Albania,1835,467613,692,35.4
Albania,1836,469716,694,35.4
Albania,1837,471830,695,35.4
Albania,1838,473953,697,35.4
Albania,1839,476085,699,35.4
Albania,1840,478227,700,35.4
Albania,1841,480496,702,35.4
Albania,1842,482893,703,35.4
Albania,1843,485419,705,35.4
Albania,1844,488078,707,35.4
Albania,1845,490869,708,35.4
Albania,1846,493796,710,35.4
Albania,1847,496859,711,35.4
Albania,1848,500062,713,35.4
Albania,1849,503404,715,35.4
Albania,1850,506889,716,35.4
Albania,1851,510780,718,35.4
Albania,1852,514821,720,35.4
Albania,1853,519014,721,35.4
Albania,1854,523361,723,35.4
Albania,1855,527865,724,35.4
Albania,1856,532526,726,35.4
Albania,1857,537348,728,35.4
Albania,1858,542333,729,35.4
Albania,1859,547483,731,35.4
Albania,1860,552800,733,35.4
Albania,1861,558285,734,35.4
Albania,1862,563821,736,35.4
Albania,1863,569410,738,35.4
Albania,1864,575051,739,35.4
Albania,1865,580746,741,35.4
Albania,1866,586494,743,35.4
Albania,1867,592297,745,35.4
Albania,1868,598154,746,35.4
Albania,1869,604067,748,35.4
Albania,1870,610036,750,35.4
Albania,1871,616061,761,35.4
Albania,1872,622143,772,35.4
Albania,1873,628113,784,35.41
Albania,1874,634308,795,35.41
Albania,1875,640561,807,35.41
Albania,1876,646873,819,35.41
Albania,1877,653080,831,35.42
Albania,1878,659507,844,35.42
Albania,1879,665994,856,35.42
Albania,1880,672545,869,35.42
Albania,1881,679004,882,35.43
Albania,1882,685682,895,35.43
Albania,1883,692426,908,35.43
Albania,1884,699096,922,35.43
Albania,1885,705996,936,35.43
Albania,1886,712988,950,35.44
Albania,1887,719888,964,35.44
Albania,1888,727055,978,35.44
Albania,1889,734321,993,35.44
Albania,1890,741690,1007,35.45
Albania,1891,749160,1021,35.45
Albania,1892,756735,1036,35.45
Albania,1893,764415,1050,35.45
Albania,1894,772202,1065,35.46
Albania,1895,780097,1079,35.46
Albania,1896,788036,1094,35.46
Albania,1897,795992,1109,35.46
Albania,1898,803964,1125,35.47
Albania,1899,811950,1140,35.47
Albania,1900,819951,1156,35.47
Albania,1901,827966,1172,35.47
Albania,1902,836031,1187,35.47
Albania,1903,844038,1203,35.48
Albania,1904,852043,1219,35.48
Albania,1905,860044,1235,35.48
Albania,1906,868121,1251,35.48
Albania,1907,876112,1268,35.49
Albania,1908,884339,1285,35.49
Albania,1909,892676,1302,35.49
Albania,1910,901124,1319,35.49
Albania,1911,909604,1342,35.5
Albania,1912,918312,1365,35.5
Albania,1913,925945,1388,35.5
Albania,1914,932486,1406,35.5
Albania,1915,937916,1424,35.5
Albania,1916,943378,1442,35.51
Albania,1917,948871,1460,35.51
Albania,1918,953764,1478,19.49
Albania,1919,958841,1497,35.51
Albania,1920,963958,1516,35.52
Albania,1921,969107,1535,35.52
Albania,1922,974278,1555,35.52
Albania,1923,979450,1575,35.52
Albania,1924,984276,1595,35.53
Albania,1925,989448,1615,35.53
Albania,1926,994619,1635,35.53
Albania,1927,1000135,1654,35.53
Albania,1928,1005306,1674,35.53
Albania,1929,1010478,1694,35.54
Albania,1930,1015994,1706,36.43
Albania,1931,1021510,1718,37.34
Albania,1932,1027026,1730,38.24
Albania,1933,1032197,1742,39.14
Albania,1934,1037713,1753,40.04
Albania,1935,1043229,1765,40.94
Albania,1936,1052538,1776,41.84
Albania,1937,1063225,1787,42.75
Albania,1938,1082532,1798,43.64
Albania,1939,1102527,1809,43.19
Albania,1940,1123213,1820,42.19
Albania,1941,1139416,1830,41.69
Albania,1942,1150104,1841,40.19
Albania,1943,1157688,1851,37.18
Albania,1944,1164928,1861,34.17
Albania,1945,1176994,1871,47.23
Albania,1946,1195267,1881,50.25
Albania,1947,1213883,1891,51.77
Albania,1948,1232845,1900,52.67
Albania,1949,1246636,1909,53.58
Albania,1950,1263174,1918,54.47
Albania,1951,1287497,2003,54.69
Albania,1952,1316089,2008,55.18
Albania,1953,1348099,2091,55.77
Albania,1954,1382878,2153,56.49
Albania,1955,1419970,2271,57.33
Albania,1956,1459089,2294,58.28
Albania,1957,1500149,2442,59.32
Albania,1958,1543222,2553,60.42
Albania,1959,1588484,2658,61.56
Albania,1960,1636056,2792,62.66
Albania,1961,1685900,2815,63.69
Albania,1962,1737644,2908,64.59
Albania,1963,1790534,3006,65.33
Albania,1964,1843593,3107,65.88
Albania,1965,1896125,3219,66.27
Albania,1966,1947785,3337,66.54
Albania,1967,1998693,3460,66.74
Albania,1968,2049151,3581,66.93
Albania,1969,2099653,3699,67.13
Albania,1970,2150598,3831,67.39
Albania,1971,2202035,3975,68.01
Albania,1972,2253844,4121,68.63
Albania,1973,2306003,4317,69.24
Albania,1974,2358463,4323,69.81
Albania,1975,2411229,4328,70.35
Albania,1976,2464336,4335,70.85
Albania,1977,2517872,4344,71.32
Albania,1978,2571850,4353,71.73
Albania,1979,2626286,4364,72
Albania,1980,2681239,4385,72.25
Albania,1981,2735329,4398,72.4
Albania,1982,2788314,4411,72.5
Albania,1983,2842624,4427,72.61
Albania,1984,2901592,4441,72.8
Albania,1985,2966798,4454,72.98
Albania,1986,3041007,4471,73.16
Albania,1987,3121336,4488,73.18
Albania,1988,3197067,4505,73.39
Albania,1989,3253656,4528,73.65
Albania,1990,3281454,4557,73.9
Albania,1991,3275431,3228,73.88
Albania,1992,3240587,3014,73.92
Albania,1993,3189583,3324,73.94
Albania,1994,3140595,3622,73.99
Albania,1995,3106736,4129,74.14
Albania,1996,3092228,4533,74.31
Albania,1997,3093041,4067,72.47
Albania,1998,3103759,4461,74.33
Albania,1999,3115576,5096,74.39
Albania,2e3,3121970,5470,74.43
Albania,2001,3122408,5960,74.48
Albania,2002,3119029,6231,74.52
Albania,2003,3111005,6615,74.59
Albania,2004,3097747,7022,74.72
Albania,2005,3079179,7462,74.91
Albania,2006,3054331,7917,75.16
Albania,2007,3023907,8448,75.4
Albania,2008,2991651,9154,75.58
Albania,2009,2962635,9525,75.88
Albania,2010,2940525,9927,76.31
Albania,2011,2926659,10208,76.69
Albania,2012,2920039,10370,76.97
Albania,2013,2918978,10504,77.2
Albania,2014,2920775,10715,77.39
Albania,2015,2923352,11025,77.56
Albania,2016,2926348,11425,77.71
Albania,2017,2930187,11912,77.86
Algeria,1800,2503218,715,28.82
Algeria,1801,2512195,716,28.82
Algeria,1802,2521203,717,28.82
Algeria,1803,2530245,718,28.82
Algeria,1804,2539318,719,28.82
Algeria,1805,2548424,720,28.82
Algeria,1806,2557563,721,28.82
Algeria,1807,2566734,722,28.82
Algeria,1808,2575939,723,28.82
Algeria,1809,2585176,724,28.82
Algeria,1810,2595056,725,28.82
Algeria,1811,2604775,726,28.82
Algeria,1812,2614945,727,28.82
Algeria,1813,2625571,728,28.82
Algeria,1814,2636656,729,28.82
Algeria,1815,2648205,730,28.82
Algeria,1816,2660224,731,28.82
Algeria,1817,2672716,732,28.82
Algeria,1818,2685686,733,28.82
Algeria,1819,2699138,734,28.82
Algeria,1820,2713079,735,28.82
Algeria,1821,2727511,743,28.82
Algeria,1822,2742441,751,28.82
Algeria,1823,2757872,759,28.82
Algeria,1824,2773810,767,28.82
Algeria,1825,2790260,775,28.82
Algeria,1826,2807226,784,28.82
Algeria,1827,2824713,792,28.82
Algeria,1828,2842727,801,28.82
Algeria,1829,2861273,810,28.82
Algeria,1830,2880355,819,28.82
Algeria,1831,2899979,828,28.82
Algeria,1832,2919737,837,28.82
Algeria,1833,2939629,846,28.82
Algeria,1834,2959657,855,28.82
Algeria,1835,2979821,864,28.82
Algeria,1836,3000123,874,28.82
Algeria,1837,3020562,883,28.82
Algeria,1838,3041142,893,28.82
Algeria,1839,3061861,903,28.82
Algeria,1840,3082721,912,28.82
Algeria,1841,3103724,922,28.82
Algeria,1842,3124870,932,28.82
Algeria,1843,3146160,943,28.82
Algeria,1844,3167595,953,28.82
Algeria,1845,3189175,963,28.82
Algeria,1846,3210903,974,28.82
Algeria,1847,3232779,984,28.82
Algeria,1848,3254804,995,28.82
Algeria,1849,3276979,1006,20
Algeria,1850,3299305,1017,15
Algeria,1851,3322288,1028,22
Algeria,1852,3345431,1039,28.82
Algeria,1853,3368734,1051,28.82
Algeria,1854,3392201,1062,28.82
Algeria,1855,3415830,1074,28.82
Algeria,1856,3439624,1085,28.82
Algeria,1857,3463583,1097,28.82
Algeria,1858,3487710,1109,28.82
Algeria,1859,3512004,1121,28.82
Algeria,1860,3536468,1133,28.82
Algeria,1861,3561454,1146,28.82
Algeria,1862,3586971,1158,28.82
Algeria,1863,3613024,1171,28.82
Algeria,1864,3639622,1184,28.82
Algeria,1865,3666770,1197,28.82
Algeria,1866,3694476,1210,28.82
Algeria,1867,3722748,1223,21
Algeria,1868,3751592,1236,11
Algeria,1869,3781016,1250,15
Algeria,1870,3811028,1263,22
Algeria,1871,3841635,1277,28.86
Algeria,1872,3872845,1291,28.9
Algeria,1873,3902099,1305,28.94
Algeria,1874,3934634,1319,28.98
Algeria,1875,3967833,1334,29.02
Algeria,1876,4001706,1348,29.06
Algeria,1877,4034621,1363,29.11
Algeria,1878,4070192,1378,29.15
Algeria,1879,4106516,1393,29.19
Algeria,1880,4143163,1408,29.23
Algeria,1881,4179287,1423,29.27
Algeria,1882,4216584,1439,29.31
Algeria,1883,4254213,1454,29.35
Algeria,1884,4291414,1470,29.39
Algeria,1885,4329711,1486,29.43
Algeria,1886,4368350,1503,29.47
Algeria,1887,4406661,1519,29.51
Algeria,1888,4445986,1536,29.55
Algeria,1889,4485662,1552,29.59
Algeria,1890,4525691,1569,29.63
Algeria,1891,4566078,1586,29.68
Algeria,1892,4606825,1604,29.72
Algeria,1893,4647936,1621,29.76
Algeria,1894,4689414,1639,29.8
Algeria,1895,4731261,1657,29.84
Algeria,1896,4773482,1675,29.88
Algeria,1897,4816080,1693,29.92
Algeria,1898,4859057,1711,29.96
Algeria,1899,4902418,1730,30
Algeria,1900,4946166,1749,30.08
Algeria,1901,4990304,1768,30.17
Algeria,1902,5034196,1787,30.25
Algeria,1903,5079119,1807,31.25
Algeria,1904,5124443,1826,25.28
Algeria,1905,5170172,1846,28.02
Algeria,1906,5216308,1866,29.46
Algeria,1907,5261920,1887,29.39
Algeria,1908,5308875,1907,29.34
Algeria,1909,5356248,1928,30.87
Algeria,1910,5404045,1949,32.53
Algeria,1911,5451990,1997,32.28
Algeria,1912,5500641,2045,33.68
Algeria,1913,5556904,2095,31.46
Algeria,1914,5620940,2131,30.97
Algeria,1915,5692913,2168,30.48
Algeria,1916,5765808,2205,30.13
Algeria,1917,5839635,2243,30.17
Algeria,1918,5913223,2280,23.56
Algeria,1919,5988038,2318,30.25
Algeria,1920,6063800,2357,29.44
Algeria,1921,6140520,2418,29.48
Algeria,1922,6218211,2478,29.22
Algeria,1923,6296885,2538,31.84
Algeria,1924,6376554,2598,33.33
Algeria,1925,6457232,2657,34.1
Algeria,1926,6538930,2716,33.42
Algeria,1927,6621661,2775,28.62
Algeria,1928,6705440,2833,32.23
Algeria,1929,6790278,2891,32.46
Algeria,1930,6876190,2949,33.78
Algeria,1931,6963188,3006,31.7
Algeria,1932,7051288,3062,33.06
Algeria,1933,7140502,3119,34.33
Algeria,1934,7230845,3175,33.74
Algeria,1935,7322331,3230,35.6
Algeria,1936,7414974,3285,36.84
Algeria,1937,7508790,3340,34.94
Algeria,1938,7603792,3394,34.31
Algeria,1939,7699997,3447,36.61
Algeria,1940,7797418,3500,37.06
Algeria,1941,7896073,3553,35.31
Algeria,1942,7995975,3605,34.66
Algeria,1943,8097142,3657,29.98
Algeria,1944,8199588,3708,35.45
Algeria,1945,8303331,3759,33.18
Algeria,1946,8408386,3809,35.44
Algeria,1947,8514770,3858,38.81
Algeria,1948,8622500,3907,41.97
Algeria,1949,8731594,3955,44.4
Algeria,1950,8872247,4003,46.85
Algeria,1951,9039910,3981,47.12
Algeria,1952,9216397,4095,47.63
Algeria,1953,9405443,4102,48.13
Algeria,1954,9609505,4335,48.65
Algeria,1955,9829719,4387,49.19
Algeria,1956,10065822,4743,49.74
Algeria,1957,10316288,5202,50.29
Algeria,1958,10578449,5310,50.86
Algeria,1959,10848973,6191,51.43
Algeria,1960,11124888,6517,52.01
Algeria,1961,11404859,5644,52.58
Algeria,1962,11690153,4515,53.17
Algeria,1963,11985136,5594,53.76
Algeria,1964,12295970,5738,54.32
Algeria,1965,12626952,5964,54.89
Algeria,1966,12980267,5523,55.43
Algeria,1967,13354197,5860,55.96
Algeria,1968,13744387,6373,56.46
Algeria,1969,14144438,6806,56.97
Algeria,1970,14550034,7290,57.49
Algeria,1971,14960109,6485,57.76
Algeria,1972,15377093,7625,58.16
Algeria,1973,15804428,7651,58.54
Algeria,1974,16247113,7886,59.06
Algeria,1975,16709099,8198,59.5
Algeria,1976,17190239,8483,59.99
Algeria,1977,17690184,8977,60.57
Algeria,1978,18212326,9829,61.17
Algeria,1979,18760761,10399,61.85
Algeria,1980,19337715,10273,62.13
Algeria,1981,19943664,10268,63.37
Algeria,1982,20575701,10591,64.4
Algeria,1983,21228289,10814,65.67
Algeria,1984,21893853,11070,66.86
Algeria,1985,22565905,11156,68.03
Algeria,1986,23241272,10846,68.73
Algeria,1987,23917897,10500,69.43
Algeria,1988,24591492,10006,70.04
Algeria,1989,25257672,10237,70.55
Algeria,1990,25912367,10237,71
Algeria,1991,26554329,9869,71.4
Algeria,1992,27181094,9815,71.73
Algeria,1993,27786259,9400,71.96
Algeria,1994,28362253,9126,72.13
Algeria,1995,28904298,9295,72.31
Algeria,1996,29411415,9509,72.79
Algeria,1997,29886839,9461,72.95
Algeria,1998,30335732,9796,73.12
Algeria,1999,30765613,9969,73.55
Algeria,2e3,31183660,10211,73.87
Algeria,2001,31592153,10382,74.13
Algeria,2002,31995046,10826,74.44
Algeria,2003,32403514,11460,74.55
Algeria,2004,32831096,11797,75.06
Algeria,2005,33288437,12322,75.36
Algeria,2006,33777915,12348,75.63
Algeria,2007,34300076,12570,75.87
Algeria,2008,34860715,12660,76.12
Algeria,2009,35465760,12647,76.31
Algeria,2010,36117637,12870,76.55
Algeria,2011,36819558,12990,76.71
Algeria,2012,37565847,13162,76.85
Algeria,2013,38338562,13253,76.98
Algeria,2014,39113313,13483,77.1
Algeria,2015,39871528,13724,77.28
Algeria,2016,40606052,13975,77.42
Algeria,2017,41318142,13802,77.64
Andorra,1800,2654,1197,
Andorra,1801,2654,1199,
Andorra,1802,2654,1201,
Andorra,1803,2654,1204,
Andorra,1804,2654,1206,
Andorra,1805,2654,1208,
Andorra,1806,2654,1210,
Andorra,1807,2654,1212,
Andorra,1808,2654,1215,
Andorra,1809,2654,1217,
Andorra,1810,2654,1219,
Andorra,1811,2655,1221,
Andorra,1812,2656,1224,
Andorra,1813,2659,1226,
Andorra,1814,2662,1228,
Andorra,1815,2667,1230,
Andorra,1816,2672,1233,
Andorra,1817,2677,1235,
Andorra,1818,2684,1237,
Andorra,1819,2692,1239,
Andorra,1820,2700,1242,
Andorra,1821,2710,1256,
Andorra,1822,2720,1271,
Andorra,1823,2731,1286,
Andorra,1824,2743,1302,
Andorra,1825,2756,1317,
Andorra,1826,2770,1333,
Andorra,1827,2785,1349,
Andorra,1828,2801,1365,
Andorra,1829,2817,1381,
Andorra,1830,2835,1397,
Andorra,1831,2854,1414,
Andorra,1832,2872,1431,
Andorra,1833,2891,1448,
Andorra,1834,2910,1465,
Andorra,1835,2929,1482,
Andorra,1836,2948,1500,
Andorra,1837,2968,1518,
Andorra,1838,2987,1536,
Andorra,1839,3007,1554,
Andorra,1840,3026,1573,
Andorra,1841,3046,1591,
Andorra,1842,3066,1610,
Andorra,1843,3086,1629,
Andorra,1844,3106,1649,
Andorra,1845,3127,1668,
Andorra,1846,3147,1688,
Andorra,1847,3168,1708,
Andorra,1848,3188,1728,
Andorra,1849,3209,1749,
Andorra,1850,3230,1770,
Andorra,1851,3250,1791,
Andorra,1852,3270,1812,
Andorra,1853,3290,1834,
Andorra,1854,3311,1855,
Andorra,1855,3331,1877,
Andorra,1856,3352,1900,
Andorra,1857,3373,1922,
Andorra,1858,3393,1945,
Andorra,1859,3414,1968,
Andorra,1860,3435,1992,
Andorra,1861,3457,2015,
Andorra,1862,3478,2039,
Andorra,1863,3500,2064,
Andorra,1864,3521,2088,
Andorra,1865,3543,2113,
Andorra,1866,3565,2138,
Andorra,1867,3587,2164,
Andorra,1868,3609,2189,
Andorra,1869,3631,2215,
Andorra,1870,3654,2242,
Andorra,1871,3676,2268,
Andorra,1872,3699,2295,
Andorra,1873,3721,2322,
Andorra,1874,3744,2350,
Andorra,1875,3768,2378,
Andorra,1876,3791,2406,
Andorra,1877,3814,2435,
Andorra,1878,3837,2464,
Andorra,1879,3861,2493,
Andorra,1880,3885,2523,
Andorra,1881,3908,2553,
Andorra,1882,3933,2583,
Andorra,1883,3957,2614,
Andorra,1884,3981,2645,
Andorra,1885,4005,2676,
Andorra,1886,4030,2708,
Andorra,1887,4055,2740,
Andorra,1888,4080,2773,
Andorra,1889,4105,2806,
Andorra,1890,4130,2839,
Andorra,1891,4156,2873,
Andorra,1892,4182,2907,
Andorra,1893,4207,2942,
Andorra,1894,4233,2977,
Andorra,1895,4260,3012,
Andorra,1896,4286,3048,
Andorra,1897,4312,3084,
Andorra,1898,4339,3121,
Andorra,1899,4366,3158,
Andorra,1900,4393,3195,
Andorra,1901,4420,3233,
Andorra,1902,4447,3272,
Andorra,1903,4474,3310,
Andorra,1904,4502,3350,
Andorra,1905,4530,3390,
Andorra,1906,4558,3430,
Andorra,1907,4585,3471,
Andorra,1908,4614,3512,
Andorra,1909,4642,3554,
Andorra,1910,4671,3596,
Andorra,1911,4699,3639,
Andorra,1912,4728,3682,
Andorra,1913,4758,3726,
Andorra,1914,4787,3788,
Andorra,1915,4817,3852,
Andorra,1916,4846,3916,
